,X2,X3,X4,X5_Age_Bins,X6_Payment_Bins,X7_Payment_Bins,X8_Payment_Bins,X9_Payment_Bins,X10_Payment_Bins,X11_Payment_Bins,X12_sign,X12_monthlydif,X13_sign,X13_monthlydif,X14_sign,X14_monthlydif,X15_sign,X15_monthlydif,X16_sign,X16_monthlydif,X17_sign,X17_monthlydif,X18_binary,X19_binary,X20_binary,X21_binary,X22_binary,X23_binary
0,2,2,1,1,2,2,1,1,2,2,1,6,1,5,1,4,0,3,0,2,0,1,0,1,0,0,0,0
1,2,2,2,1,1,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,1,1,0,1
2,2,2,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
3,2,2,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
4,1,2,1,3,1,2,1,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
5,1,1,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
6,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
7,2,2,2,1,2,1,1,2,2,1,1,6,1,5,1,4,1,3,0,2,1,1,1,1,0,1,1,1
8,2,3,1,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,1,1,1
9,1,3,2,2,2,2,2,2,1,1,0,6,0,5,0,4,0,3,1,2,1,1,0,0,0,1,1,0
10,2,3,2,2,2,2,2,2,2,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
11,2,1,2,3,1,1,1,1,1,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,0,1
12,2,2,2,2,1,2,1,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
13,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,1,1,0
14,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
15,2,3,3,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,1,1,1,1
16,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,0,1,0
17,1,1,1,3,2,2,2,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
18,2,1,1,3,2,2,2,2,2,2,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0,0,0,0
19,2,1,2,1,2,2,2,2,2,2,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0,0,0,0
20,2,3,2,2,2,2,2,2,2,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
21,2,2,1,2,1,1,1,1,1,1,1,6,1,5,1,4,0,3,1,2,1,1,1,1,0,1,1,0
22,2,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,0,1,0,1
23,2,1,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,0,2,0,1,1,1,1,0,0,1
24,1,1,2,1,2,2,2,1,2,2,1,6,1,5,0,4,1,3,1,2,1,1,1,0,1,1,1,1
25,1,3,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
26,1,1,2,1,2,2,1,1,1,1,0,6,0,5,1,4,0,3,1,2,0,1,0,1,0,1,0,1
27,2,3,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
28,2,3,1,3,1,1,1,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
29,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
30,2,1,2,1,1,1,1,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
31,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
32,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
33,2,2,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
34,1,1,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,0,2,1,1,1,1,1,0,1,1
35,1,1,2,1,1,1,2,2,2,1,1,6,0,5,0,4,0,3,0,2,0,1,1,1,1,1,1,0
36,1,2,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
37,2,2,2,1,2,2,2,2,2,1,1,6,1,5,1,4,1,3,0,2,1,1,1,1,1,0,1,1
38,1,1,2,1,2,1,1,2,2,2,0,6,1,5,0,4,0,3,0,2,0,1,1,0,0,0,0,0
39,1,1,2,1,1,1,2,1,2,1,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,1,1,1
40,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
41,2,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
42,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
43,2,2,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
44,2,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,0,1,1,0
45,1,1,2,1,2,2,2,2,2,2,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0,0,0,0
46,2,1,2,1,2,2,2,1,2,2,1,6,1,5,1,4,1,3,1,2,0,1,1,0,1,1,0,0
47,2,5,2,3,2,2,1,2,2,2,1,6,1,5,1,4,1,3,0,2,0,1,1,1,0,0,0,0
48,1,2,2,1,1,1,1,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
49,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
50,1,3,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,1,0,1,1
51,2,3,3,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
52,2,2,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
53,2,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
54,2,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
55,2,1,1,3,2,2,2,2,2,2,1,6,1,5,1,4,0,3,1,2,1,1,1,1,0,1,1,0
56,2,3,1,2,2,2,2,1,1,1,1,6,1,5,1,4,1,3,0,2,1,1,1,1,1,1,1,1
57,2,2,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
58,2,1,2,2,1,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,0,1,0,1,0
59,2,2,1,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
60,2,3,1,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
61,1,2,1,2,2,2,2,2,2,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
62,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,0,1,1,0
63,2,2,1,3,2,2,2,2,2,2,1,6,1,5,0,4,0,3,0,2,0,1,1,0,0,0,0,0
64,2,2,1,3,1,1,2,2,1,1,1,6,0,5,0,4,0,3,1,2,0,1,0,0,0,1,0,0
65,1,1,1,3,2,2,2,1,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,0,1,1,0,1
66,1,2,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,1,1,1
67,2,1,2,1,2,1,1,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
68,2,3,2,1,2,2,2,1,2,1,0,6,0,5,0,4,1,3,1,2,1,1,0,0,1,0,1,1
69,1,5,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,1,1,1,0
70,1,1,2,1,1,1,1,1,1,1,1,6,0,5,1,4,1,3,1,2,1,1,0,1,1,1,1,1
71,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,0,1,1,1
72,2,2,1,1,1,1,1,1,2,1,1,6,1,5,0,4,1,3,1,2,1,1,1,1,1,1,1,1
73,2,1,2,2,2,2,1,1,1,1,0,6,0,5,1,4,0,3,1,2,0,1,0,1,0,1,0,0
74,1,1,2,1,1,1,1,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
75,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,1,1,0
76,1,3,2,1,1,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
77,2,1,1,3,1,1,1,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
78,2,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
79,2,2,2,2,2,2,2,2,2,2,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0,0,0,0
80,2,3,3,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
81,2,1,2,1,2,2,2,2,2,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
82,1,3,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
83,2,2,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
84,2,3,2,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
85,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
86,2,1,1,3,1,1,2,2,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,0,0,1,1,1
87,2,2,2,1,2,2,2,2,2,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,0,1,1
88,2,1,1,2,2,2,2,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
89,1,3,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,1,1,0,1
90,1,1,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
91,2,1,2,2,1,1,1,2,2,2,1,6,0,5,1,4,1,3,0,2,0,1,0,1,0,0,0,0
92,2,1,2,1,2,2,2,2,2,2,0,6,1,5,0,4,0,3,0,2,0,1,1,0,0,0,0,0
93,2,2,1,2,1,1,1,1,1,2,1,6,1,5,1,4,1,3,0,2,0,1,1,1,1,0,0,1
94,2,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
95,1,2,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
96,1,1,1,2,1,1,1,1,1,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,0,1
97,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
98,2,3,1,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
99,1,2,1,2,2,2,2,2,2,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
100,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
101,2,1,2,1,2,2,1,2,2,2,0,6,0,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
102,1,1,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,0,1,1
103,2,3,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
104,2,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,1,1,1,1
105,2,2,2,1,1,1,2,2,2,1,1,6,0,5,0,4,0,3,0,2,1,1,0,0,0,0,1,1
106,2,2,1,2,1,1,1,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
107,1,1,2,3,1,1,1,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
108,1,2,2,2,2,2,2,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,1,1,1
