,X2,X3,X4,X5_Age_Bins,X6_Payment_Bins,X7_Payment_Bins,X8_Payment_Bins,X9_Payment_Bins,X10_Payment_Bins,X11_Payment_Bins,X12_sign,X12_monthlydif,X13_monthlydif,X14_sign,X14_monthlydif,X15_sign,X15_monthlydif,X16_sign,X16_monthlydif,X17_sign,X17_monthlydif,X18_binary,X19_binary,X20_binary,X21_binary,X22_binary,X23_binary
1,2,2,1,1,2,2,1,1,2,2,1,6,5,1,4,0,3,0,2,0,1,0,1,0,0,0,0
2,2,2,2,1,1,2,2,2,2,2,1,6,5,1,4,1,3,1,2,1,1,0,1,1,1,0,1
3,2,2,2,2,2,2,2,2,2,2,1,6,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
4,2,2,1,2,2,2,2,2,2,2,1,6,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
5,1,2,1,3,1,2,1,2,2,2,1,6,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
6,1,1,2,2,2,2,2,2,2,2,1,6,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
7,1,1,2,1,2,2,2,2,2,2,1,6,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
8,2,2,2,1,2,1,1,2,2,1,1,6,5,1,4,1,3,0,2,1,1,1,1,0,1,1,1
9,2,3,1,1,2,2,2,2,2,2,1,6,5,1,4,1,3,1,2,1,1,1,0,1,1,1,1
10,1,3,2,2,2,2,2,2,1,1,0,6,5,0,4,0,3,1,2,1,1,0,0,0,1,1,0
11,2,3,2,2,2,2,2,2,2,1,1,6,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
12,2,1,2,3,1,1,1,1,1,2,1,6,5,1,4,1,3,1,2,1,1,1,1,1,1,0,1
13,2,2,2,2,1,2,1,1,1,1,1,6,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
14,1,2,2,1,2,2,2,2,2,2,1,6,5,1,4,1,3,1,2,1,1,1,0,1,1,1,0
15,1,1,2,1,2,2,2,2,2,2,1,6,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
16,2,3,3,1,2,2,2,2,2,2,1,6,5,1,4,1,3,1,2,1,1,0,1,1,1,1,1
17,1,1,2,1,2,2,2,2,2,2,1,6,5,1,4,1,3,1,2,1,1,1,0,1,0,1,0
18,1,1,1,3,2,2,2,1,1,1,1,6,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
19,2,1,1,3,2,2,2,2,2,2,0,6,5,0,4,0,3,0,2,0,1,0,0,0,0,0,0
